ID,DENOM,TIPO,N_EDIZ,DESCRIZ,DATA_IN,ORA_IN,DATA_FINE,ORA FINE,ANNO,PROV,ISTAT,COMUNE,TOPONIMO,INDIRIZZO,CIVICO,CAP,SOMMINIS,SITO_WEB,NOME_ORG,PROGRAMMA,GEN_AUTOMATICA_PROGRAMMA,GEO_X,GEO_Y,location
20169,FESTA DELLA MADONNINA DEL BOSCHETTO,Sagra,18,"Sagra con spettacoli  musicali, bancarelle e stand gastronomico",04/09/2024,17:00,08/09/2024,22:00,2024,BS,017042,CASTEL MELLA,VIA,MADONNINA DEL BOSCHETTO,25030,25030,S,,Parrocchia di San Siro,https://www.procedimenti.servizirl.it/sagre/public/programma/20169,SI,10.14556335,45.51154868,POINT (10.14556335 45.51154868)
19592,FESTA DELLA LEGA SALVINI PREMIER,Sagra,2024,DATE ALTERNATIVE A 24-25-26/05/2024,19/05/2024,18:00,19/05/2024,23:59,2024,VA,012035,CARONNO VARESINO,VIA,MACCHI,21040,21040,S,,LEGA SALVINI PREMIER,https://www.procedimenti.servizirl.it/sagre/public/programma/19592,SI,8.82595197,45.74069999,POINT (8.82595197 45.74069999)
19301,FESTA PATRONALE DI SANT'ANNA,Sagra,ND,,25/07/2024,18:30,29/07/2024,23:59,2024,BS,017166,ROVATO,VIA,SANT'ANNA,,25038,S,,PARROCCHIA SANT'ANNA,https://www.procedimenti.servizirl.it/sagre/public/programma/19301,NO,10.00106672,45.5405234,POINT (10.00106672 45.5405234)
19435,FESTA D'ESTATE,Sagra,25,,19/07/2024,19:00,22/07/2024,02:00,2024,SO,014011,CAIOLO,VIA,VALERIANA - CAMPO SPORTIVO,23010,23010,S,www.ascaiolo.it,ASSOCIAZIONE SPORTIVA DILETTANTISTICA A.S. CAIOLO,https://www.procedimenti.servizirl.it/sagre/public/programma/19435,NO,9.81685439,46.10500041,POINT (9.81685439 46.10500041)
19650,SPIEDO DA  ASPORTO,Sagra,14,,03/03/2024,10:00,03/03/2024,15:00,2024,BS,017125,ORZINUOVI,VIA,GIOTTO,25034,25034,S,,GRUPPO ALPINI ORZINUOVI,https://www.procedimenti.servizirl.it/sagre/public/programma/19650,SI,9.93094098,45.39740684,POINT (9.93094098 45.39740684)
17790,FIERA DI SAN MARTINO,Fiera,1,fiera commercio ambulante,12/11/2024,08:00,12/11/2024,18:00,2024,SO,014032,GORDONA,VIA,EMIGRANTI,23020,23020,N,www.comune.gordona.so.it,COMUNE DI GORDONA,https://www.procedimenti.servizirl.it/sagre/public/programma/17790,NO,9.36324135,46.29133018,POINT (9.36324135 46.29133018)
20179,FESTA ORATORIO 2023,Sagra,2024,Festa di conclusione dell'anno catechistico,29/05/2024,00:00,02/06/2024,23:59,2024,BS,017043,CASTENEDOLO,VIA,MATTEOTTI,25014,25014,S,,Parrocchia San Bartolomeo Apostolo,https://www.procedimenti.servizirl.it/sagre/public/programma/20179,NO,10.30668163,45.46562709,POINT (10.30668163 45.46562709)
19131,FESTA SANT' ABBONDIO,Sagra,00,Festa paesana con somministrazione di prodotti tipici,24/08/2024,17:00,25/08/2024,23:59,2024,SO,014005,ARDENNO,FRAZIONE,PIAZZALUNGA,23011,23011,S,,Associazione Sant'Abbondio,https://www.procedimenti.servizirl.it/sagre/public/programma/19131,SI,9.63807996,46.1726274,POINT (9.63807996 46.1726274)
18327,SAGRA DEL BITTO,Sagra,56,Premiazione pastori e pranzo con prodotti tipici,14/09/2024,14:00,15/09/2024,23:00,2024,SO,014031,GEROLA ALTA,ZONA,GEROLA,23010,23010,S,,Quaini Valerio,https://www.procedimenti.servizirl.it/sagre/public/programma/18327,NO,9.55143785,46.04625856,POINT (9.55143785 46.04625856)
19272,FESTA DEL CACCIATORE,Sagra,00,FESTA DEL CACCIATORE CON INTRATTENIMENTO,07/06/2024,19:00,09/06/2024,23:59,2024,BS,017120,NUVOLERA,VIA,VERDI 13,25080,25080,S,,SEZIONE CACCIATORI F.I.D.C. NUVOLERA,https://www.procedimenti.servizirl.it/sagre/public/programma/19272,SI,10.36946455,45.52369843,POINT (10.36946455 45.52369843)
19343,#CRIDAYS,Sagra,3,"Eventi sportivi, giochi per bambini, momenti musicali e percorsi gastronomici.",25/05/2024,09:00,26/05/2024,00:00,2024,MI,015166,PADERNO DUGNANO,VIA,RENATO SERRA,,20037,S,,Croce Rossa Italiana Comitato di Paderno Dugnano,https://www.procedimenti.servizirl.it/sagre/public/programma/19343,NO,9.17073734,45.57127982,POINT (9.17073734 45.57127982)
18225,FIERA DELL'AGRICOLTURA SCALVINA,Sagra,000,FIERA AGRICOLTURA,05/10/2024,07:00,06/10/2024,18:00,2024,BG,016243,VILMINORE DI SCALVE,FRAZIONE,VILMAGGIORE,SNC,24020,S,www.latteriasocialediscalve.it,LATTERIA SOCIALE MONTANA DI SCALVE,https://www.procedimenti.servizirl.it/sagre/public/programma/18225,SI,10.0692673,46.00463527,POINT (10.0692673 46.00463527)
